year,school_key,field,source_id,source_type,confidence,source_url,note
"2003","mit","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","stanford","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","uc-berkeley","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","cmu","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","illinois","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","michigan","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","ut-austin","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","washington","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","princeton","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","cornell","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","georgia-tech","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","wisconsin","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","caltech","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","purdue","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","uc-san-diego","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","usc","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","ucla","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","northwestern","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
"2003","maryland","rank","usnews_2003_lazowska_mirror","official or archived primary source","high","https://lazowska.cs.washington.edu/usnews2003/usnews_com%20Education%202003%20Graduate%20School%20Rankings%20Engineering.htm","Saved U.S. News page mirror. The page states the ranking was computed in January of the year cited."
